submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
1/22/2020,CA,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/23/2020,CA,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/24/2020,CA,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/25/2020,CA,0,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/26/2020,CA,2,,,2,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/27/2020,CA,2,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/28/2020,CA,2,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/29/2020,CA,2,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/30/2020,CA,2,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
1/31/2020,CA,3,,,1,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/1/2020,CA,3,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/2/2020,CA,3,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/3/2020,CA,6,,,3,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/4/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/5/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/6/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/7/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/8/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/9/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/10/2020,CA,6,,,0,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
2/11/2020,CA,7,,,1,,0,,,0,,3/26/2020 16:22,Not agree,Not agree
